Country,Country_Code,Region,Population,Area_sq_mi,Pop_Density,Coastline_Ratio,Net_Migration,Infant_Mortality,GDP_per_Capita,Literacy,Phones_per_1000,Arable_Percent,Other_Percent,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Albania,ALB,"EASTERN EUROPE",3581655,28748,124.6000,46023.0000,-4.9300,21.5200,4500,86.5000,71.2000,44095.0000,74.4900,3.0000,44150.0000,44682.0000,0.2320,0.1880,0.5790
Algeria,DZA,"NORTHERN AFRICA",32930091,2381740,13.8000,0.0400,-0.3900,31.0000,6000,70.0000,78.1000,44621.0000,96.5300,1.0000,17.1400,22372.0000,0.1010,0.6000,0.2980
"American Samoa",ASM,OCEANIA,57794,199,290.4000,58.2900,-20.7100,46631.0000,8000,97.0000,259.5000,10.0000,75.0000,2.0000,22.4600,46447.0000,NULL,NULL,NULL
"American Samoa",ASM,OCEANIA,57794,199,290.4000,58.2900,-20.7100,46631.0000,8000,97.0000,259.5000,10.0000,75.0000,2.0000,22.4600,46447.0000,NULL,NULL,NULL
Andorra,AND,"WESTERN EUROPE",71201,468,152.1000,0.0000,43988.0000,43955.0000,19000,100.0000,497.2000,44593.0000,97.7800,3.0000,26146.0000,45809.0000,NULL,NULL,NULL
Angola,AGO,"SUB-SAHARAN AFRICA",12127071,1246700,9.7000,0.1300,0.0000,191.1900,1900,42.0000,44050.0000,15008.0000,97.3500,NULL,45.1100,43885.0000,0.0960,0.6580,0.2460
Anguilla,AIA,"LATIN AMER. & CARIB",13477,102,132.1000,59.8000,28034.0000,43911.0000,8600,95.0000,460.0000,0.0000,100.0000,2.0000,14.1700,12540.0000,0.0400,0.1800,0.7800
"Antigua & Barbuda",ATG,"LATIN AMER. & CARIB",69108,443,156.0000,34.5400,-6.1500,19.4600,11000,89.0000,549.9000,18.1800,77.2700,2.0000,16.9300,13636.0000,0.0380,0.2200,0.7430
Argentina,ARG,"LATIN AMER. & CARIB",39921833,2766890,14.4000,0.1800,0.6100,15.1800,11200,97.1000,220.4000,11658.0000,87.2100,3.0000,16.7300,20271.0000,0.0950,0.3580,0.5470
Armenia,ARM,"C.W. OF IND. STATES",2976372,29800,99.9000,0.0000,-6.4700,23.2800,3500,98.6000,195.7000,17.5500,80.1500,4.0000,44024.0000,45139.0000,0.2390,0.3430,0.4180
Aruba,ABW,"LATIN AMER. & CARIB",71891,193,372.5000,35.4900,0.0000,32629.0000,28000,97.0000,516.1000,19633.0000,89.4700,2.0000,43901.0000,24990.0000,0.0040,0.3330,0.6630
Australia,AUS,OCEANIA,20264082,7686850,2.6000,0.3400,35855.0000,25294.0000,29000,100.0000,565.5000,20241.0000,93.4100,1.0000,41974.0000,18810.0000,0.0380,0.2620,0.7000
Austria,AUT,"WESTERN EUROPE",8192880,83870,97.7000,0.0000,2.0000,24198.0000,30000,98.0000,452.2000,16.9100,82.2300,3.0000,27242.0000,28004.0000,0.0180,0.3040,0.6780
Azerbaijan,AZE,"C.W. OF IND. STATES",7961619,86600,91.9000,0.0000,-4.9000,81.7400,3400,97.0000,137.1000,19.6300,77.6600,1.0000,20.7400,27638.0000,0.1410,0.4570,0.4020
Bahamas,BHS,"LATIN AMER. & CARIB",303770,13940,21.8000,25.4100,-2.2000,25.2100,16700,95.6000,460.6000,0.8000,98.8000,2.0000,17.5700,43960.0000,0.0300,0.0700,0.9000
Bahrain,BHR,"NEAR EAST",698585,665,1050.5000,24.2100,43952.0000,17.2700,16900,89.1000,281.3000,29983.0000,91.5500,1.0000,44060.0000,41730.0000,0.0050,0.3870,0.6080
Bangladesh,BGD,"ASIA (EX. NEAR EAST)",147365352,144000,1023.4000,0.4000,-0.7100,62.6000,1900,43.1000,43897.0000,62.1100,34.8200,2.0000,44072.0000,46600.0000,0.1990,0.1980,0.6030
Barbados,BRB,"LATIN AMER. & CARIB",279912,431,649.5000,22.5100,-0.3100,43963.0000,15700,97.4000,481.9000,37.2100,60.4600,2.0000,26268.0000,24685.0000,0.0600,0.1600,0.7800
Belarus,BLR,"C.W. OF IND. STATES",10293011,207600,49.6000,0.0000,19756.0000,13.3700,6100,99.6000,319.1000,29.5500,69.8500,4.0000,42675.0000,43875.0000,0.0930,0.3160,0.5910
Belgium,BEL,"WESTERN EUROPE",10379067,30528,340.0000,0.2200,44927.0000,24929.0000,29100,98.0000,462.6000,23.2800,76.3200,3.0000,14154.0000,46661.0000,0.0100,0.2400,0.7490
Belize,BLZ,"LATIN AMER. & CARIB",287730,22966,12.5000,24838.0000,0.0000,25.6900,4900,94.1000,115.7000,31079.0000,95.4400,2.0000,28.8400,26420.0000,0.1420,0.1520,0.6120
Benin,BEN,"SUB-SAHARAN AFRICA",7862944,112620,69.8000,0.1100,0.0000,85.0000,1100,40.9000,44021.0000,44061.0000,79.5200,2.0000,38.8500,44896.0000,0.3160,0.1380,0.5460
Bermuda,BMU,"NORTHERN AMERICA",65773,53,1241.0000,194.3400,17930.0000,19572.0000,36000,98.0000,851.4000,20.0000,80.0000,2.0000,43932.0000,27211.0000,0.0100,0.1000,0.8900
